,en,cs,pl,de
notifications.invoiceReminder,Account %(arg1)s would like to inform you that you have unpayed invoices to handle.,,,
notifications.reservationAccepted,"Your reservation on ""%(arg1)s""s place was accpeted.",,,
notifications.reservationDeclined,"Your reservation on ""%(arg1)s""s place was declined.",,,
profile.profileSettings,Profile settings,,,
profile.hints,I want to see hints:,,,
profile.language,Choose language:,,,
profile.resetPassword,Change password,,,
profile.emailSent,You will receive an email with instructions how to reset email,,,
profile.editUser,Edit my user profile,,,
profile.email,"Email: ",,,
profile.createdAt,"Profile createat: ",,,
profile.cars,Cars,,,
users.username,username,uživatelské jméno,PL: users.username,DE: users.username
users.email,e-mail,E-mail,E-mail,E-mail
users.phone,phone,Telefonní číslo,PL: users.phone,DE: users.phone
users.memberSince,since,Členem od,PL: users.memberSince,DE: users.memberSince
users.active,active,Aktivní,PL: users.active,DE: users.active
users.pending,Pending,Čekající,PL: users.pending,DE: users.pending
users.allKnownUsers,All known users,,,
users.pendingInvitations,Pending invitations,,,
users.memberOfClients,Member of clients:,,,
users.memberOfCars,Member of cars:,,,
users.memberOfGarages,Member of garages:,,,
users.admin,admin,,,
users.secretary,secretary,,,
users.internal,internal,,,
users.host,host,,,
users.security,security,,,
users.receptionist,receptionist,,,
users.invitedToClient,"Invited %(date)s to be member of client: ",,,
users.invitedToGarage,"Invited %(date)s to be member of garage: ",,,
users.invitedToCar,"Invited %(date)s to be member of car: ",,,
datetimepicker.today,Today,,,
datetimepicker.now,Now,,,
datetimepicker.inf,Infinity,,,
newMarketing.size_restriction,Limited vehicle size,,,
newMarketing.non_stop_open,Opened nonstop,,,
newMarketing.non_stop_reception,Reception opened nonstop,,,
newMarketing.gate_opened_by_phone,Gate can be opened by phone,,,
newMarketing.gate_opened_by_receptionist,Gate opened by receptionist,,,
newMarketing.historical_center,Historical center,,,
newMarketing.city_center,City center,,,
newMarketing.five_minutes_from_center,Five minutes from center,,,
newMarketing.ten_minutes_from_center,Ten minutes from center,,,
newMarketing.fifteen_minutes_from_center,Fifteen minutes from center,,,
newMarketing.cameras,Camera system,,,
newMarketing.camera_at_gate,Camera at gate,,,
newMarketing.tram_nearby,Tram nearby,,,
newMarketing.subway_nearby,Subway nearby,,,
newMarketing.wc,WC,,,
newMarketing.five_minutes_from_subway,Five minutes from subway,,,
newMarketing.number_plate_recognition,Number plate recognition opens gate,,,
newMarketing.charging_station,Electric car charging stations,,,
newMarketing.garage,Garage,,,
newMarketing.place,Place,,,
newMarketing.gate,Gate,,,
newMarketing.building,Building,,,
newMarketing.map,Map,,,
newMarketing.shortName,URL short name,,,
newMarketing.shortNamePlaceholder,st-patricks-garage,,,
newMarketing.invalidShortName,This has to be one lowercase word,,,
newMarketing.phone,Emergency phone,,,
newMarketing.phonePlaceholder,+420 420 765 126,,,
newMarketing.invalidPhone,Phone invalid,,,
newMarketing.email,Emergency email,,,
newMarketing.imvalidEmail,Email invalid,,,
newMarketing.mailPlaceholder,Contact@email.com,,,
newMarketing.selectTag,Select image tag,,,
newMarketing.description,Garage description,,,
newMarketing.images,Garage images,,,
newMarketing.uploading,Uploading...,,,
newMarketing.notCreated,"Marketing was not created, selected short name is allready taken.",,,
newMarketing.notUpdated,"Marketing was not updated, selected short name is allready taken.",,,
garageMarketing.id,id,,,
garageMarketing.email,email,,,
garageMarketing.short_name,short_name,,,
garageMarketing.phone,phone,,,
garageMarketing.stopMarketing,Are you sure you want to stop marketing?,,,
garageMarketing.marketingRuning,Marketing is up and running,,,
garageMarketing.marketingStopped,Marketing is currently stopped,,,
garageMarketing.status,status,,,
garageMarketing.active,active,,,
garageMarketing.notActive,not activated,,,
marketing.description,Description,,,
marketing.contacts,Contacts,,,
marketing.properties,Properties,,,
marketing.lat,Latitude,,,
marketing.lng,Longitude,,,
newPricing.name,Name,,,
newPricing.flatPrice,Flat price (per hour),,,
newPricing.exponentialPrice,Exponential price (per hour),,,
newPricing.weekendPrice,Weekend price (per hour),,,
newPricing.12hPrice,Reservations to 12 hours,,,
newPricing.dayPrice,Reservations from 12 hours to 1 day,,,
newPricing.weekPrice,Reservations from 1 day to 1 week,,,
newPricing.monthPrice,Reservations longer than 7 days,,,
newPricing.namePlaceholder,Pricing,,,
newPricing.maxPlaceholder,500,,,
newPricing.minPlaceholder,300,,,
newPricing.decayPlaceholder,0.80,,,
newPricing.invalidName,Invalid pricing name,,,
newPricing.invalidPrice,Invalid price,,,
newPricing.selectCurrency,Select currency,,,
newPricing.selectPlace,Start by selecting a place,,,
newRent.name,Name,,,
newRent.namePlaceholder,Place rent,,,
newRent.invalidName,Invalid rent name,,,
newRent.price,Price,,,
newRent.pricePlaceholder,500,,,
newRent.invalidPrice,Invalid price,,,
newRent.selectCurrency,Select currency,,,
cars.licencePlate,licence plate,,,
cars.color,color,,,
cars.model,Model,,,
cars.destroyCar,Are you sure you want to destroy this car?,,,
newCar.licencePlate,Licence plate,,,
newCar.color,Color,,,
newCar.model,Model,,,
newCar.width,Width [m],,,
newCar.height,Height [m],,,
newCar.length,Length [m],,,
newCar.licencePlatePlaceholder,1A2 3456,,,
newCar.colorPlaceholder,Black,,,
newCar.modelPlaceholder,Porsche 911,,,
newCar.widthPlaceholder,1.80,,,
newCar.heightPlaceholder,1.30,,,
newCar.lengthPlaceholder,4.37,,,
newCar.licencePlateInvalid,Licence plate invalid,,,
newCar.colorInvalid,Color invalid,,,
newCar.modelInvalid,Model invalid,,,
newCar.widthInvalid,Width invalid,,,
newCar.heightInvalid,Height invalid,,,
newCar.lengthInvalid,Length invalid,,,
newCar.lpg,LPG,,,
carUsers.name,name,,,
carUsers.email,email,,,
carUsers.phone,phone,,,
carUsers.admin,admin,,,
newReservationOverview.overview,Reservation overview,,,
newReservationOverview.selectedPlace,Selected place,,,
newReservationOverview.duration,Duration,,,
newReservationOverview.from,from,,,
newReservationOverview.to,to,,,
newReservationOverview.price,Price,,,
newReservationOverview.garage,Garage,,,
newReservationOverview.floor,Floor,,,
newReservationOverview.place,Place,,,
addFeatures.ImGarageOwner,I am a garage owner,,,
addFeatures.LongTerm,LONGTERM OR PERSONAL,,,
addFeatures.Automation,AUTOMATION & ACCESS,,,
addFeatures.Integration,INTEGRATIONS,,,
addFeatures.custom,CUSTOM,,,
addFeatures.canAddGarage,garage and places,,,
addFeatures.users,users,,,
addFeatures.reservations,reservations,,,
addFeatures.saveContracts,save contracts,,,
addFeatures.hosts,hosts,,,
addFeatures.occupancy,occupancy overview,,,
addFeatures.notifications,notifications,,,
addFeatures.accessFeature,access features,,,
addFeatures.acceptPayments,client accepts payments,,,
addFeatures.issueTracking,issue tracking,,,
addFeatures.visitors,visitor system,,,
addFeatures.security,overview and security features,,,
addFeatures.analytics,simple business analytics,,,
addFeatures.3rdParty,3rd party integrations and aggregators,,,
addFeatures.advancedAnalytics,advanced business analytics,,,
addFeatures.customDesc,haven't found your desired mix? let us know!,,,
addFeatures.perSpot," / spot",,,
addFeatures.perMonth," / month",,,
addFeatures.free,Free,,,
addFeatures.customPrice,Custom pricing,,,
addFeatures.additionalGoods,Additional goods,,,
addFeatures.bookingPage,MY OWN BOOKING PAGE,,,
addFeatures.advertisement,awesome advertisemnt,,,
addFeatures.gateModule,GATE MODULE,,,
addFeatures.openGate,opens gate via app,,,
addFeatures.IdontHaveAccout,I don't have a account,,,
addFeatures.createAccount,CREATE ACCOUNT,,,
addFeatures.IamGarageClient,I am client of garage,,,
addFeatures.createClient,CREATE CLIENT,,,
addFeatures.selected,Selected,,,
addFeatures.loading,Loading...,,,
accounts.name,name,jméno,Imię i nazwisko,Name
accounts.id,id,id,id,id
accounts.merchant_id,merchant id,,,
newAccount.name,Account name *,Název účtu,Nazwa konta,Kontobezeichnung
newAccount.placeholder,Money account,Firemní účet,Konto firmowe,Unternehmenskonto
newAccount.invalidName,Invalid accounts name,Neplatné jméno účtu,Niepoprawna nazwa konta,Ungültiger Kontoname
newAccount.redirecting,Redirecting ...,,,
newAccount.creatingAccount,Creating account ...,,,
newAccount.updatingAccount,Updating account ...,,,
newAccount.CSOBcreating,"Verifying information, creating account ...",,,
newAccount.CSOBnotValid,Private key and Merchant id pair is not valid.,,,
newAccount.permissionNotGranted,Paypals permission to process payment on your behalf was not granted. Try again.,,,
newAccount.whatIsMerchant,Process of creating account,,,
newAccount.start,"Start by selecting what kind of payment method would you prefer. If you would like us to implement another payment method, please contact Park-it-direct support.",,,
newAccount.merchantDesc,"We use Paypal to take care of your money. If you want to accept money, you have to your own Paypal business account and provide us permission to process payments for you. Got to paypal.com and sign up business account! Once you got your business Paypal account we can continue with this form.",,,
newAccount.merchantDesc2,"Fill the form and click OK. You will be automatically redirected to paypals website where you log in to paypal you want to use with this Park-it-direct account. Than just click ""Grant Permission"" button.",,,
newAccount.csobMerchantDesc,"To use ČSOB payment gateway, you first have to visit your local ČSOB branch office, they will provide you with new merchant id identifier and private key. For more information contact ČSOB support.",,,
newAccount.csobMerchantDesc2,"If you already have your identifiers, please enter merchant id and upload your private key from *.pub file.",,,
newAccount.updateProcess,Process of updating an account,,,
newAccount.merchantUpdateDesc,"After clicking OK, you will be redirected to the paypal. To change your current paypal account, simply log in with another paypal account and click the ""Grant Permission"" button.",,,
newAccount.merchantUpdateCsobDesc,"To change your current ČSOB account, simply provide us with new merchant id and private key.",,,
newAccount.selectPaymentMethod,Select payment method,,,
newAccount.csobPayment,ČSOB payment information,,,
newAccount.paypalPayment,Paypal selected - you will be redirected afther clicking OK.,,,
newAccount.csobMerchantID,ČSOB merchant id,,,
newAccount.invalidMerchantId,Merchant id invalid,,,
newAccount.csobMerchantIdplaceholder,A2411K3nLj,,,
newAccount.SelectPrivateKey,Select private key:,,,
invoices.invoiceDate,invoice date,,,
invoices.dueDate,due date,,,
invoices.account,account,,,
invoices.client,client,,,
invoices.payed,payed,,,
invoices.ammount,ammount,,,
invoices.subject,subject,,,
invoices.pay,Pay,,,
invoices.invoicePayed,Are you sure you want to mark this invoice as payed?,,,
invoices.initializingPayment,Initializing payment ...,,,
invoices.redirecting,Redirecting ...,,,
invoices.paymentUnsucessfull,Payment was canceled and unsucessfull.,,,
invoices.payingReservation,Paying reservation,,,
resetPassword.send,Password reseting email was sent to your email.,,,
resetPassword.description,"Please, insert your email here and we will send you password reset process description",,,
resetPassword.email,e-mail,,,
resetPassword.emailInvalid,Invalid email,,,
modules.marketingPage,Marketing page,,,
modules.connectWithMrParkit,Connect with Mr. Parkit,,,
modules.reservationForm,Reservation form,,,
modules.goPublic,Go public,,,
modules.goPublicDescription,Offer short term parking to PiD community,,,
modules.setting,Settings,,,
modules.Preview,Preview,,,
modules.startingMarketing,Upgrading your billing plan. Redirecting...,,,
newContract.description,"New contract in ",,,
newContract.selectClient,Select client,,,
newContract.invalidToken,Token invalid,,,
newContract.tokenPlaceholder,gaZJBS,,,
newContract.clientNotFound,No client with this token exists,,,
newContract.selectedPlaces,Selected places,,,
newContract.noSelectedPlaces,No selected places,,,
newContract.selectRent,Select rent,,,
newContract.contractPrice,Enter new specific contract price,,,
newContract.priceInvalid,Price invalid,,,
newContract.pricePlaceholder,10000,,,
newContract.selectCurrency,Select currency,,,
finance.paypal,Paypal,,,
finance.csob,ČSOB,,,
finance.csobPayment,ČSOB Payments,,,
finance.SelectPrivateKey,Select private key,,,
finance.finanaceSettings,Finanace settings,,,
finance.vat,Value added tax,,,
finance.invoiceRow,Regular invoice row,,,
finance.simplyfiedInvoiceRow,Simplyfied invoice row,,,
finance.invalidVat,Invalid VAT,,,
finance.invalidRow,Invalid number,,,
finance.changeSuccess,Values were changed sucessfully.,,,
finance.changeFailed,"Error occured, values were not changed.",,,
analytics.week,week,,,
analytics.month,month,,,
analytics.turnover,turnover,,,
analytics.average,average,,,
analytics.reservations,reservations,,,
analytics.noData,No data to be rendered,,,
activityLog.name,user,,,
activityLog.email,email,,,
activityLog.subject,subject,,,
activityLog.action,action,,,
activityLog.createdAt,time,,,
