,en,cs,pl,de
orderGarageModule.garageModule,Garage module,Modul garáže,Moduł garażu,
orderGarageModule.garageModuleDescription,Garage modules will allow you to automatically open garage gate for your customers.,Modul garáže Vám umožní automaticky otevřít bránu garáže pro Vaše zákazníky.,,
orderGarageModule.shippingAddress,Shipping address,Doručovací adresa,,
orderGarageModule.invoiceAddress,Invoice address,Fakturační adresa,,
orderGarageModule.equalAddresses,Invoice address is equal to shipping address,Fakturační adresa je stejná jako doručovací adresa,,
orderGarageModule.amount,Amount,Částka,,
orderGarageModule.amountInvalid,Amount invalid,Neplatná částka,,
orderGarageModule.amountPlaceholder,1,1,,
orderGarageModule.placingOrder,Creating order ...,Vytvářím objednávku ...,,
orderGarageModule.orderSuccessfull,Order was successfully finished,Objednávka byla úspěšně dokončena,,
orderGarageModule.orderFailed,"Payment failed, try again later.","Platba selhala, zkuste to později.",,
newGarage.garage,Garage,Garáž,,
newGarage.places,Places,Místa,,
newGarage.gates,Gates,Brány,,
newGarage.order,Order,Objednávka,,
newGarage.subscribtion,Subscribtion,Předplatné,,
newGarage.selectImage,Select garage image,Vyberte obrázek garáže,,
newGarage.garagePicture,Garage picture,Fotka garáže,,
newGarage.garageAddress,Garage address,Adresa garáže,,
newGarage.garageFloors,Garage floors,Podlaží garáže,,
newGarage.addFloor,Add floor,Přidejte podlaží,,
newGarage.maximumVehicleDimensions,Maximum vehicle dimensions,Maximální rozměry vozidla,,
newGarage.garageGates,Garage gates,Brány garáží,,
newGarage.addGate,Add gate,Přidejte bránu,,
newGarage.placePriority,Place priority,Zadejte prioritu,,
newGarage.placePriorityDescription,Here you can set priority of your places. Places that you select first will have higher priority. Not selected places will have default priority and will not be prefered.,"Zde můžete nastavit prioritu Vašich míst. Místa, která jsou označena jako první, budou mít vyšší prioritu. Nevybraná místa budou mít výchozí prioritu a nebudou upřednostňována.",,
newGarage.highestPriority,Highest priority >>,Nejvyšší priorita >>,,
newGarage.length,Length [m],Délka [m],,
newGarage.height,Height [m],Výška [m],,
newGarage.width,Width [m],Šířka [m],,
newGarage.weight,Weight [kg],Váha [m],,
newGarage.invalidLength,Invalid length,Neplatná délka,,
newGarage.invalidHeight,Invalid height,Neplatná výška,,
newGarage.invalidWidth,Invalid width,Neplatná šířka,,
newGarage.invalidWeight,Invalid weight,Neplatná váha,,
newGarage.lengthPlaceholder,5,5,,
newGarage.heightPlaceholder,"2,8","2,8",,
newGarage.widthPlaceholder,3,3,,
newGarage.weightPlaceholder,5000,5000,,
newGarage.tarif,Tarif:,Tarif:,,
newGarage.summaryPlace,Places:,Místa:,,
newGarage.gsmModule,GSM module:,GSM modul:,,
newGarage.bookingPage,My own booking page:,Moje vlastní stránka rezervace:,,
newGarage.price,Price:,Cena:,,
newGarage.subscribe,Subscribe,Odebírat,,
newGarage.count,count,spočítat,,
newGarage.invalidNumber,Invalid number,Neplatné číslo,,
newGarage.countPlaceholder,1,1,,
newGarage.garageTemlates,Try custom layouts,Vyzkoušejte šablony rozvržení,,
newGarage.orderOwnLayout,Do you want to look this profesional? Order layout of your own garage! We will send you an email with instructions.,Chcete vypadat takto profesionálně? Objednejte vlastní rozvržení garáže! Zašleme Vám e-mail s pokyny jak na to.,,
newGarage.orderLayout,I want to order own layout!,Chci objednat vlastní rozvržení!,,
newGarage.customLayout,Custom layouts:,Vlastní rozvržení:,,
newGarage.perMonth,per month,za měsíc,,
newGarage.perLevel,per level,za patro,,
newGarage.now,now,nyní,,
newGarage.betterTarifMarketing,With this tarif you cannot offer your places to the public. Select Automation & Access tarif and earn money for parking!,S tímto tarifem nemůžete nabídnout Vaše místa veřejnosti. Vyberte tarif Automatizace & Přístup a vydělávej peníze za parkování!,,
newGarage.newGarage,New garage,Nová garáž,Nowy garaż,Neue Garage
newGarage.name,Garage name *,Název garáže,Nazwa garażu,Name der Garage
newGarage.placeholder,Office center,Kancelářská budova,Centrum biurowe,Bürozentrum
newGarage.gsmName,Name *,Jméno *,,
newGarage.gsmNameInvalid,Name is invalid,Neplatné jméno,,
newGarage.gsmNamePlaceholder,John Doe,Jan Novák,,
newGarage.gsmModulesDescription,GSM modules will allow you to automatically open gate for your guests. The price is %(price)s per piece.,Moduly GSM Vám umožňují automaticky otevírat bránu hostům. Cena je %(price)s za kus.,,
newGarage.floorName,Level *,Podlaží,PL: Level,DE: Level
newGarage.placeholderFloor,%(index)s,1,1,1
newGarage.invalidFloorName,Invalid floor name,Neplatný název patra,Niepoprawna nazwa piętra,Ungültiger Name
newGarage.invalidName,Invalid garage name,Neplatný název garáže,Niepoprawna nazwa garażu,Ungültiger Garagename
newGarage.removeFloorRowQuestion,Are you sure you want to delete this floor?,Určitě chcete odstranit toto patro?,Czy na pewno chcesz usunąć tę linijkę?,Möchten Sie diese Zeile wirklich löschen?
newGarage.removeGateRowQuestion,Are you sure you want to delete this gate?,Určitě chcete odstranit tuto bránu?,,
newGarage.street,Street and house number,Číslo ulice a domu,,
newGarage.city,City *,Město *,,
newGarage.postalCode,Postal code *,Poštovní směrovací číslo *,,
newGarage.country,Country *,Země *,,
newGarage.state,State,Stát,,
newGarage.invalidStreet,Invalid street,Neplatná ulice,,
newGarage.invalidCity,Invalid city,Neplatné město,,
newGarage.invalidPostalCode,Invalid postal code,Neplatné poštovní směrovací číslo,,
newGarage.invalidCountry,Invalid country,Neplatná země,,
newGarage.invalidState,Invalid State,Neplatný stát,,
newGarage.from,N° from *,Čísla od *,PL: newGarage.from *,DE: newGarage.from *
newGarage.to,N° to *,Čísla do *,PL: newGarage.to *,DE: newGarage.to *
newGarage.invalidFloorFrom,Invalid from number,"Neplatné číslo ""Od""",PL: newGarage.invalidFloorFrom,DE: newGarage.invalidFloorFrom
newGarage.invalidFloorTo,Invalid to number,"Neplatné číslo ""Do""",PL: newGarage.invalidFloorTo,DE: newGarage.invalidFloorTo
newGarage.placeholderFloorFrom,3,3,3,3
newGarage.placeholderFloorTo,12,12,12,12
newGarage.streetPlaceholder,Martense Avenue 526,Martense Avenue 526,,
newGarage.cityPlaceholder,New Jersey,New Jersey,,
newGarage.postalCodePlaceholder,7666,7666,,
newGarage.statePlaceholder,Pennsylvania,Pennsylvania,,
newGarage.countryPlaceholder,USA,USA,,
newGarage.lat,Latitude,Zeměpisná šířka,,
newGarage.invalidLat,Not valid number,Neplatné číslo,,
newGarage.latPlaceholder,50.08,50.08,,
newGarage.lng,Longitude,Zeměpisná délka,,
newGarage.invalidLng,Not valid number,Neplatné číslo,,
newGarage.lngPlaceholder,14.435,14.435,,
newGarage.gateLabel,Gate %(index)s,Brána %(index)s,,
newGarage.gatePhone,Gate module phone,Telefon modulu brány,,
newGarage.invalidGateLabel,Not valid label,,,
newGarage.invalidGatePhone,Not valid phone,Neplatný telefon,,
newGarage.placeholderGateLabel,Entrance gate,Vstupní brána,,
newGarage.placeholderGatePhone,489234798,489234798,,
newGarage.invalidPlaces,Format invalid,Neplatný formát,,
newGarage.placesPlaceholder,"5-15, 17-20, 30, 32","5-15, 17-20, 30, 33",,
newGarage.lpgAllowed,LPG is allowed,LPG je povoleno,,
newGarage.placeNoGate,Not all places were assigned to gate. This can be changed later in garage management.,Ne všechna místa byla přiřazena k bráně. To může být později změněno ve správě garáže.,,
newGarage.selectTarif,Select tarif *,Vyberte tarif *,,
newGarage.selectAccount,Select account,Vyberte účet,,
newGarage.selectAccountMandatory,Select account *,Vyberte účet *,,
newGarage.processing,Processing,Zpracovávám,,
newClient.name,Client name,Jméno klienta,,
newClient.placeholder,Company client,Klient společnosti,,
newClient.invalidName,Invalid client name,Neplatné jméno klienta,,
newClient.ICplaceholder,12345678,12345678,,
newClient.DICplaceholder,CZ12345678,CZ12345678,,
newClient.IC,IČ,IČ,,
newClient.invalidIC,invalid IČ,neplatné IČ,,
newClient.DIC,DIČ,DIČ,,
newClient.invalidDIC,invalid DIČ,neplatné DIČ,,
inviteUser.selectUser,User email(s),Email(y) uživatele,,
inviteUser.connectionExists,This user is already in this client account.,Tento uživatel již je v tomto klientském účtu.,,
inviteUser.sendingInvitation,"Loading, inviting user","Načítám, zvu uživatele",,
inviteUser.notificationSend,Success: Notification has been send to this user. Wait for him to accept.,"Hotovo: Upozornění bylo odesláno tomuto uživateli. Počkejte prosím, až ho potvrdí.",,
inviteUser.message,You have been invited to use clients account '%(client)s'!,Byl jste pozván k použití klientského účtu '%(client)s'!,,
inviteUser.noRights,You don't have rights to do that.,Na toto nemáte práva.,,
inviteUser.inviteMessage,Invitation message,Pozvánka,,
inviteUser.wrongMessage,Not nice enough,Nedostatečně milé,,
inviteUser.optionalSettings,New user optional settings,Nové volitelné nastavení úživatele,,
inviteUser.optionalSettingsText,Here you can set advanced options and prefill information for the users registration.,Zde můžete nastavit pokročilé možnosti a předběžně vyplnit informace pro registraci uživatelů.,,
inviteUser.nameLabel,Users full name (optional),Jméno uživatele (volitelné),,
inviteUser.phoneLabel,Users phone number (optional),Telefonní číslo uživatele (volitelné),,
inviteUser.noClients,You have currently no clients where you have admin rights.,"V současné době nemáte žádné klienty, na kterých máte práva administrátora.",,
inviteUser.sucessfullyInvited,"%(success)s invitations were sucessfully send, %(failed)s failed.","%(success)s pozvánky byly úspěšně odeslány, %(failed)s se nezdařilo.",,
inviteUser.zero,no,ne,,
inviteUser.selectClient,Select client,Vyberte klienta,,
inviteUser.selectGarage,Select garage,Vyberte garáž,,
inviteUser.selectCar,Select car,Vyberte auto,,
inviteUser.admin,admin,admin,,
inviteUser.secretary,secretary,sekretář/ka,,
inviteUser.host,host,host,,
inviteUser.internal,internal,interní,,
inviteUser.security,security,zabezpečení,,
inviteUser.receptionist,receptionist,recepční,,
inviteUser.clientRights,Client rights,Klientova práva,,
inviteUser.clientRightsDesc,These rights will be only valid if client is specified,Tato práva budou platná pouze pokud bude klient specifikován.,,
inviteUser.GarageRights,Garage rights,Práva garáže,,
inviteUser.GarageRightsDesc,These rights will be only valid if garage is specified,Tato práva budou platná pouze pokud bude garáž specifikována.,,
inviteUser.carRights,Car rights,Práva aut,,
inviteUser.carRightsDesc,These rights will be only valid if car is specified,Tato práva budou platná pouze pokud bude auto specifikováno.,,
notifications.user,user,Uživatel,Użytkownik nie istnieje.,Benutzer
notifications.email,e-mail,E-mail,E-mail,E-mail
notifications.phone,phone,Telefon,Telefon,Telefon
notifications.sent,sent,Odesláno,Wysłane,Gesendet
notifications.created,created on,Vytvořeno dne,,
notifications.declineQuestion,Are you sure you want to decline?,Určitě chcete odmítnout?,Czy na pewno chcesz odrzucić?,Möchten Sie wirklich ablehnen?
notifications.expiration,Notification will expire on,Upozornění vyprší dne.,Powiadomienie ważne do,Die Benachrichtigung läuft ab
notifications.clientInvitationMessage,You have been invited to '%(arg1)s' client account. Do you want to accept?,Byl(a) jste pozván(a) na klientský účet '%(arg1)s'. Chcete přijmout?,,
notifications.garageInvitationMessage,You have been invited to '%(arg1)s' garage. Do you want to accept?,Byl(a) jste pozván(a) do '%(arg1)s' garáže. Chcete přijmout?,,
notifications.carInvitationMessage,You have been invited to use '%(arg1)s' car. Do you want to accept?,Byl(a) jste pozván(a) pro použití '%(arg1)s' auta. Chcete přijmout?,,
notifications.clientUserDestroyed,"You have been removed from clients account '%(arg1)s', all reservations associated to this clients account were canceled.","Byla jste odstraněna z účtu klienta '%(arg1)s', všechny rezervace přidružené k tomuto klientskému účtu byly zrušeny.",,
notifications.accountPlaceDestroyed,Reservation of yours has been canceled due to owner removed the place from used clients account.,"Vaše rezervace byly stornovány, jelikož správce garáže odstranil parkovací místo z Klientského účtu.",PL: notifications.accountPlaceDestroyed,DE: notifications.accountPlaceDestroyed
notifications.past,past,minulost,,
notifications.NotificationAccepted,accepted on,přijato dne,,
notifications.NotificationDeclined,declined on,odmítnuto dne,,
notifications.current,current,aktuální,,
notifications.sais,says,vzkazuje,,
notifications.accpetReservationNotification,Host %(arg2)s would like to create a reservation on %(arg1)s expenses.,Host %(arg2)s by chtěl vytvořtit rezervaci na %(arg1)s náklady.,,
notifications.invoiceReminder,Account %(arg1)s would like to inform you that you have unpayed invoices to handle.,"Účet %(arg1)s by tě chtěl informovat, že máš k vyřízení nezaplacené faktury.",,
notifications.reservationAccepted,"Your reservation on ""%(arg1)s""s place was accpeted.","Tvoje rezervace na ""%(arg1)s místo bylo akceptováno.",,
notifications.reservationDeclined,"Your reservation on ""%(arg1)s""s place was declined.","Tvoje rezervace na ""%(arg1)s místo bylo zrušeno.",,
profile.profileSettings,Profile settings,Nastavení profilu,,
profile.hints,I want to see hints:,Chci vidět tipy:,,
profile.language,Choose language:,Vyberte jazyk:,,
profile.resetPassword,Change password,Změn heslo:,,
profile.emailSent,You will receive an email with instructions how to reset email,"Obdržíte e-mail s pokyny, jak obnovit e-mail",,
profile.editUser,Edit my user profile,Vyberte můj uživatelský profil,,
profile.email,Email:,Email:,,
profile.createdAt,Profile created:,Profil vytvořen:,,
profile.cars,Cars,Auta,,
users.username,username,uživatelské jméno,PL: users.username,DE: users.username
users.email,e-mail,E-mail,E-mail,E-mail
users.phone,phone,Telefonní číslo,PL: users.phone,DE: users.phone
users.memberSince,since,Členem od,PL: users.memberSince,DE: users.memberSince
users.active,active,Aktivní,PL: users.active,DE: users.active
users.pending,Pending,Čekající,PL: users.pending,DE: users.pending
users.allKnownUsers,All known users,Všichni známí uživatelé,,
users.pendingInvitations,Pending invitations,Čekající pozvánky,,
users.memberOfClients,Member of clients:,Člen klientů:,,
users.memberOfCars,Member of cars:,Člen aut:,,
users.memberOfGarages,Member of garages:,Člen garáží:,,
users.admin,admin,správce,,
users.secretary,secretary,sekretář/ka,,
users.internal,internal,interní,,
users.host,host,host,,
users.security,security,zabezpečení,,
users.receptionist,receptionist,recepční,,
users.invitedToClient,Invited %(date)s to be member of client:,Pozván %(datum)s aby byl členem klienta:,,
users.invitedToGarage,Invited %(date)s to be member of garage:,Pozván %(datum)s aby byl členem garáže:,,
users.invitedToCar,Invited %(date)s to be member of car:,Pozván %(datum)s aby byl členem auta,,
datetimepicker.today,Today,Dnes,,
datetimepicker.now,Now,Nyní,,
datetimepicker.inf,Infinity,Nekonečno,,
newMarketing.size_restriction,Limited vehicle size,Omezená velikost vozidla,,
newMarketing.non_stop_open,Opened nonstop,Otevřeno nonstop,,
newMarketing.non_stop_reception,Reception opened nonstop,Nonstop recepce,,
newMarketing.gate_opened_by_phone,Gate can be opened by phone,Brána může být otevřena telefonem,,
newMarketing.gate_opened_by_receptionist,Gate opened by receptionist,Bránu otevírá recepční,,
newMarketing.historical_center,Historical center,Historické centrum,,
newMarketing.city_center,City center,Centrum města,,
newMarketing.five_minutes_from_center,Five minutes from center,Pět minut od centra,,
newMarketing.ten_minutes_from_center,Ten minutes from center,Deset minut od centra,,
newMarketing.fifteen_minutes_from_center,Fifteen minutes from center,Patnáct minut od centra,,
newMarketing.cameras,Camera system,Kamerový systém,,
newMarketing.camera_at_gate,Camera at gate,Kamera na bráně,,
newMarketing.tram_nearby,Tram nearby,Tramvaj v okolí,,
newMarketing.subway_nearby,Subway nearby,V blízkosti metra,,
newMarketing.wc,WC,WC,,
newMarketing.five_minutes_from_subway,Five minutes from subway,Pět minut od metra,,
newMarketing.number_plate_recognition,Number plate recognition opens gate,Rozpoznání poznávací značky otevírá bránu,,
newMarketing.charging_station,Electric car charging stations,Nabíjecí stanice pro elektrická auta,,
newMarketing.garage,Garage,Garáž,,
newMarketing.place,Place,Místo,,
newMarketing.gate,Gate,Brána,,
newMarketing.building,Building,Budova,,
newMarketing.map,Map,Mapa,,
newMarketing.shortName,URL short name,URL krátký název,,
newMarketing.shortNamePlaceholder,st-patricks-garage,St-patricks-garáž,,
newMarketing.invalidShortName,This has to be one lowercase word,Toto musí být jedno slovo,,
newMarketing.phone,Emergency phone,Nouzový telefon,,
newMarketing.phonePlaceholder,+420 420 765 126,+420 420 765 127,,
newMarketing.invalidPhone,Phone invalid,Neplatný telefon,,
newMarketing.email,Emergency email,Pohotovostní e-mail,,
newMarketing.imvalidEmail,Email invalid,Neplatný email,,
newMarketing.mailPlaceholder,Contact@email.com,Kontakt@email.com,,
newMarketing.selectTag,Select image tag,Vyberte označení obrázku,,
newMarketing.description,Garage description,Popis garáže,,
newMarketing.images,Garage images,Garážové snímky,,
newMarketing.uploading,Uploading...,Nahrávám ...,,
newMarketing.notCreated,"Marketing was not created, selected short name is allready taken.","Marketing nebyl vytvořen, vybrané zkrácené jméno už bylo provedeno.",,
newMarketing.notUpdated,"Marketing was not updated, selected short name is allready taken.","Marketing nebyl aktualizován, vybrané krátké jméno je již použito.",,
garageMarketing.id,id,id,,
garageMarketing.email,email,email,,
garageMarketing.short_name,short_name,zkrácené_jméno,,
garageMarketing.phone,phone,telefon,,
garageMarketing.stopMarketing,Are you sure you want to stop marketing?,Opravdu chcete marketing zastavit?,,
garageMarketing.marketingRuning,Marketing is up and running,Marketing je v provozu,,
garageMarketing.marketingStopped,Marketing is currently stopped,Marketing je momentálně zastaven,,
garageMarketing.status,status,status,,
garageMarketing.active,active,aktivní,,
garageMarketing.notActive,not activated,Neaktivováno,,
marketing.description,Description,Popis,,
marketing.contacts,Contacts,Kontakty,,
marketing.properties,Properties,Vlastnosti,,
marketing.lat,Latitude,Zeměpisná šířka,,
marketing.lng,Longitude,Zeměpisná délka,,
newPricing.name,Name,Název,,
newPricing.flatPrice,Flat price (per hour),Cena za místo (za hodinu),,
newPricing.exponentialPrice,Exponential price (per hour),Proměnlivá cena (za hodinu),,
newPricing.weekendPrice,Weekend price (per hour),Cena o víkendu (za hodinu),,
newPricing.12hPrice,Reservations to 12 hours,Rezervace do 12 hodin,,
newPricing.dayPrice,Reservations from 12 hours to 1 day,Rezervace od 12 hodin do 1 dne,,
newPricing.weekPrice,Reservations from 1 day to 1 week,Rezervace od 1 dne do 1 týdne,,
newPricing.monthPrice,Reservations longer than 7 days,Rezervace delší než 7 dní,,
newPricing.namePlaceholder,Pricing,Ceny,,
newPricing.maxPlaceholder,500,500,,
newPricing.minPlaceholder,300,300,,
newPricing.decayPlaceholder,0.8,0.8,,
newPricing.invalidName,Invalid pricing name,Neplatně zadaná cena,,
newPricing.invalidPrice,Invalid price,Neplatná cena,,
newPricing.selectCurrency,Select currency,Vyberte měnu,,
newPricing.selectPlace,Start by selecting a place,Začněte výběrem místa,,
newRent.name,Name,Název,,
newRent.namePlaceholder,Place rent,Nájemné místa,,
newRent.invalidName,Invalid rent name,Neplatně zadaný název nájemného,,
newRent.price,Price,Cena,,
newRent.pricePlaceholder,500,500,,
newRent.invalidPrice,Invalid price,Neplatná cena,,
newRent.selectCurrency,Select currency,Vyberte měnu,,
cars.licencePlate,licence plate,SPZ,,
cars.color,color,barva,,
cars.model,Model,Model,,
cars.destroyCar,Are you sure you want to remove this car?,Určitě chcete toto auto odstranit?,,
newCar.licencePlate,Licence plate,SPZ,,
newCar.color,Color,Barva,,
newCar.model,Model,model,,
newCar.width,Width [m],Šířka [m],,
newCar.height,Height [m],Výška [m],,
newCar.length,Length [m],Délka [m],,
newCar.licencePlatePlaceholder,1A2 3456,1A2 3456,,
newCar.colorPlaceholder,Black,Černá,,
newCar.modelPlaceholder,Porsche 911,Porsche 911,,
newCar.widthPlaceholder,1.8.2017,1.8.2017,,
newCar.heightPlaceholder,1.3.2017,1.3.2017,,
newCar.lengthPlaceholder,4.37,4.37,,
newCar.licencePlateInvalid,Licence plate invalid,Neplatná SPZ,,
newCar.colorInvalid,Color invalid,Neplatná barva,,
newCar.modelInvalid,Model invalid,Neplatný model,,
newCar.widthInvalid,Width invalid,Neplatná šířka,,
newCar.heightInvalid,Height invalid,Neplatná výška,,
newCar.lengthInvalid,Length invalid,Neplatná délka,,
newCar.lpg,LPG,LPG,,
carUsers.name,name,název,,
carUsers.email,email,email,,
carUsers.phone,phone,telefon,,
carUsers.admin,admin,správce,,
newReservationOverview.overview,Reservation overview,Přehled rezervací,,
newReservationOverview.selectedPlace,Selected place,Vybrané místo,,
newReservationOverview.duration,Duration,Doba trvání,,
newReservationOverview.from,from,z,,
newReservationOverview.to,to,na,,
newReservationOverview.price,Price,Cena,,
newReservationOverview.garage,Garage,Garáž,,
newReservationOverview.floor,Floor,Podlaží,,
newReservationOverview.place,Place,Místo,,
addFeatures.ImGarageOwner,I am a garage owner,Jsem majitelem garáže,,
addFeatures.LongTerm,LONGTERM OR PERSONAL,DLOUHODOBÉ NEBO OSOBNÍ,,
addFeatures.Automation,AUTOMATION & ACCESS,AUTOMATIZACE A PŘÍSTUP,,
addFeatures.Integration,INTEGRATIONS,INTEGRACE,,
addFeatures.custom,CUSTOM,VLASTNÍ,,
addFeatures.canAddGarage,garage and places,Garáže a místa,,
addFeatures.users,users,uživatelé,,
addFeatures.reservations,reservations,rezervace,,
addFeatures.saveContracts,save Agreements,uložte dohody,,
addFeatures.hosts,hosts,hosté,,
addFeatures.occupancy,occupancy overview,přehled obsazenosti,,
addFeatures.notifications,notifications,upozornění,,
addFeatures.accessFeature,access features,přístup k funkcím,,
addFeatures.acceptPayments,client accepts payments,klient přijímá platby,,
addFeatures.issueTracking,issue tracking,sledování problémů,,
addFeatures.visitors,visitor system,návštěvnický systém,,
addFeatures.security,overview and security features,přehled a bezpečnostní prvky,,
addFeatures.analytics,simple business analytics,jednoduchá obchodní analýza,,
addFeatures.3rdParty,3rd party integrations and aggregators,Integrace a shromažďování třetích stran,,
addFeatures.advancedAnalytics,advanced business analytics,pokročilá obchodní analýza,,
addFeatures.customDesc,haven't found your desired mix? let us know!,nenalezl jste požadovaný mix ? Dej nám vědět,,
addFeatures.perSpot,/ spot,/ místo,,
addFeatures.perMonth,/ month,/ měsíc,,
addFeatures.free,Free,Volno,,
addFeatures.customPrice,Custom pricing,Vlastní cena,,
addFeatures.additionalGoods,Additional goods,Dodatečné zboží,,
addFeatures.bookingPage,MY OWN BOOKING PAGE,MOJE VLASTNÍ REZERVAČNÍ STRÁNKA,,
addFeatures.advertisement,awesome advertisement,,,
addFeatures.gateModule,GATE MODULE,Brána modulu,,
addFeatures.openGate,opens gate via app,Otevře bránu pomocí aplikaci,,
addFeatures.IdontHaveAccout,I don't have a account,Nemám účet,,
addFeatures.createAccount,CREATE ACCOUNT,VYTVOŘIT ÚČET,,
addFeatures.IamGarageClient,I am client of garage,Jsem klient garáže,,
addFeatures.createClient,CREATE CLIENT,VYTVOŘIT KLIENTA,,
addFeatures.selected,Selected,Vybraný,,
addFeatures.loading,Loading...,Načítám ...,,
accounts.name,name,jméno,Imię i nazwisko,Name
accounts.id,id,id,id,id
accounts.merchant_id,merchant id,id obchodníka,,
newAccount.name,Account name *,Název účtu *,Nazwa konta,Kontobezeichnung
newAccount.placeholder,Money account,Firemní účet,Konto firmowe,Unternehmenskonto
newAccount.invalidName,Invalid accounts name,Neplatné jméno účtu,Niepoprawna nazwa konta,Ungültiger Kontoname
newAccount.redirecting,Redirecting ...,Přesměrovávám ...,,
newAccount.creatingAccount,Creating account ...,Vytvářím účet ...,,
newAccount.updatingAccount,Updating account ...,Aktualizuji účet ...,,
newAccount.CSOBcreating,"Verifying information, creating account ...","Potvrzuji informace, vytvářím účet ...",,
newAccount.CSOBnotValid,Private key and Merchant id pair is not valid.,Osobní klíč a id obchodníka není platné.,,
newAccount.permissionNotGranted,Paypals permission to process payment on your behalf was not granted. Try again.,Paypal metoda pro zpracování platby nebyla povolena . Zkus to znovu.,,
newAccount.whatIsMerchant,Process of creating account,Proces vytváření účtu,,
newAccount.start,"Start by selecting what kind of payment method would you prefer. If you would like us to implement another payment method, please contact Park-it-direct support.","Začněte výběrem způsobu platby, který byste preferoval. Pokud byste chtěl, abychom zavedli jiný způsob platby, kontaktujte podporu Park-it-direct.",,
newAccount.merchantDesc,"We use Paypal to take care of your money. If you want to accept money, you have to your own Paypal business account and provide us permission to process payments for you. Got to paypal.com and sign up business account! Once you got your business Paypal account we can continue with this form.","Používáme Paypal, aby se staral o Vaše peníze. Pokud chcete přijímat peníze, musíte mít svůj vlastní obchodní účet Paypal a poskytnout nám povolení ke zpracování plateb. Jděte na paypal.com a zaregistrujte si obchodní účet! Jakmile získáte svůj obchodní účet Paypal, můžeme s daným formulářem pokračovat.",,
newAccount.merchantDesc2,"Fill the form and click OK. You will be automatically redirected to paypals website where you log in to paypal you want to use with this Park-it-direct account. Than just click ""Grant Permission"" button.","Vyplňte formulář a klikněte na tlačítko OK. Budete automaticky přesměrováni na webovou stránku paypal, kde se přihlásíte do paypalu, který chcete použít s tímto účtem Park-it-direct. Pak klikněte na tlačítko ""udělit povolení"".",,
newAccount.csobMerchantDesc,"To use ČSOB payment gateway, you first have to visit your local ČSOB branch office, they will provide you with new merchant id identifier and private key. For more information contact ČSOB support.","Chcete-li použít platební bránu ČSOB, musíte nejdřív navštívit místní pobočku ČSOB, poskytnou Vám nové id obchodníka a vlastní klíč. Pro více informací kontaktujte podporu ČSOB.",,
newAccount.csobMerchantDesc2,"If you already have your identifiers, please enter merchant id and upload your private key from *.pub file.","Pokud již máte svoje identifikátory, zadejte prosím id obchodníka a nahrajte svůj vlastní klíč ze souboru *.pub.",,
newAccount.updateProcess,Process of updating an account,Proces aktualizace účtu,,
newAccount.merchantUpdateDesc,"After clicking OK, you will be redirected to the paypal. To change your current paypal account, simply log in with another paypal account and click the ""Grant Permission"" button.","Po kliknutí na tlačítko OK budete přesměrován na paypal. Chcete-li změnit svůj aktuální účet paypal, jednoduše se přihlaste s jiným PayPal účtem a klikni na tlačítko ""udělit povolení"".",,
newAccount.merchantUpdateCsobDesc,"To change your current ČSOB account, simply provide us with new merchant id and private key.","Chceš-li změnit stávající účet ČSOB, jednoduše nám poskytni nové id obchodníka a vlastní klíč.",,
newAccount.selectPaymentMethod,Select payment method,Vyberte způsob platby,,
newAccount.csobPayment,ČSOB payment information,Platební informace ČSOB,,
newAccount.paypalPayment,Paypal selected - you will be redirected after clicking OK.,Paypal vybrán - budete přesměrováni po kliknutí na tlačítko OK.,,
newAccount.csobMerchantID,ČSOB merchant id,Id obchodníka ČSOB,,
newAccount.invalidMerchantId,Merchant id invalid,Id obchodníka je neplatné,,
newAccount.csobMerchantIdplaceholder,A2411K3nLj,A2411K3nLj,,
newAccount.SelectPrivateKey,Select private key:,Vyberte vlastní klíč:,,
invoices.invoiceDate,Issued,Vystavení faktury,,
invoices.dueDate,Due date,Datum splatnosti,,
invoices.account,Account,Účet,,
invoices.client,Client,Klient,,
invoices.type,Type,Typ,,
invoices.invoiceText,Invoice text,,,
invoices.paid,Paid,zaplaceno,,
invoices.ammount,Amount,částka,,
invoices.subject,Subject,předmět,,
invoices.pay,Pay,Platit,,
invoices.invoicePayed,Are you sure you want to mark this invoice as payed?,Opravdu chcete označit tuto fakturu za zaplacenou?,,
invoices.initializingPayment,Initializing payment ...,Inicializuji platby ...,,
invoices.redirecting,Redirecting ...,Přesměrovávám ...,,
invoices.paymentUnsucessfull,Payment was canceled and unsucessfull.,Platba byla zrušena a neúspěšná.,,
invoices.payingReservation,Paying reservation,Placení rezervace,,
invoices.selectClient,Select client,,,
invoices.selectGarage,Select garage,,,
invoices.invoiceNumber,Invoice Nr.,,,
invoices.stornoInvoice,Do you realy want to storno this invoice?,,,
invoices.invoiceCanceled,This invoice was canceled.,,,
invoices.cancelReason,"Please, enter reason for cancelling this invoice:",,,
invoices.reason,Reason,,,
invoices.reasonInvalid,Reason invalid,,,
invoices.reasonPlaceholder,Calculated price is wrong,,,
invoices.inoiceDate,Invoice date,,,
invoices.invalidaDate,Invalid date,,,
invoices.invalidValue,Invalid value,,,
invoices.amount,Price,,,
resetPassword.send,Password reseting email was sent to your email.,Obnova hesla byla odeslána na Váš e-mail.,,
resetPassword.description,"Please, insert your email here and we will send you password reset process description",Zde vložte svůj e-mail a my Vám zašleme popis procesu obnovení hesla,,
